Season,Episode,Challenge,Baker,Risky,Grade,Notes,# of Flavors
6,1,Signature,Alvin,T,o,"Orange, vanilla, fig",3
6,1,Signature,Dorret,F,-,Simple w candied lemon,1
6,1,Signature,Flora,F,+,blood orange,1
6,1,Signature,Ian,T,-,"Jamacan ginger, lime mojitos, coconut",3
6,1,Signature,Mat,T,-,Gin and tonic,2
6,1,Signature,Nadiya,T,+,"Orange zest, green cardamom",2
6,1,Signature,Paul,T,-,"Lemon, ginger and caraway seed",3
6,1,Signature,Sandy,F,+,Almond Liqueur and chopped apricots,2
6,1,Signature,Tamal,T,+,Rose water to moisten his pistachio cake,2
6,1,Signature,Ugné,T,-,Lemon and Thyme,2
6,1,Signature,Stu,T,-,"* Lime and chocolate, * Topped w rum and lime glaze",3
6,1,Signature,Marie,F,+,Citrus orange/lemon,2
6,1,Showstopper,Alvin,F,o,"* Chocolate almond sponge, and covered in chocolate mirrored glaze",2
6,1,Showstopper,Dorret,F,-,"Cherry chocolate ganache, chocolate mousse",2
6,1,Showstopper,Flora,T,+,"cherry and chocolate layered sponge, w fresh cream",3
6,1,Showstopper,Ian,F,+,"Chocolate macaroon, genoise sponge, Carmel for structure and covered in chocolate",2
6,1,Showstopper,Mat,T,+,"Cherry and kirsch flavored jam, and chocolate brownie cakes",3
6,1,Showstopper,Nadiya,F,+,"* Cherry ganache and cherry jam, covered in chocolate mirror glaze",2
6,1,Showstopper,Paul,F,+,Outside decorated with cream and tempered choc trees,2
6,1,Showstopper,Sandy,T,o,Layered with cherries and fresh cream and 3 chocolate sponges and shortbread base,3
6,1,Showstopper,Tamal,F,+,"Dark chocolate sponge, with a cherry ganache, with tempered chocolate outside",3
6,1,Showstopper,Ugné,T,-,"Buttermilk chocolate sponges, tea setting decoration",2
6,1,Showstopper,Stu,T,-,"Beetroot (moisture), mascarpone cream, covered in meringue (weird)",5
6,1,Showstopper,Marie,F,+,"Genoise sponge, fresh cream and cherry syrup, tempered choc trees",3
6,2,Signature,Alvin,T,+,"Jackfruit (Filipino childhood), pistachio, macadamia",3
6,2,Signature,Dorret,T,-,"Amber sugar crystal, almond and apricot biscotti ",2
6,2,Signature,Flora,T,+,Fennel Seeds and sesame seeds (Italian recipe),2
6,2,Signature,Ian,T,+,"Orange, cranberry, almond, rosemary, instead of sugar used orange caramel",5
6,2,Signature,Mat,F,-,"Cranberry, white chocolate, pistachio",3
6,2,Signature,Nadiya,T,+,"Coconut, fennel seeds, and pistachio",3
6,2,Signature,Paul,T,+,"Fig, hazelnuts, chocolate, chocolate dough",4
6,2,Signature,Sandy,F,-,"Chocolate chunk, hazelnut",2
6,2,Signature,Tamal,T,+,"Physalis+cranberries+barberries, cinnamon, maple syrup and cranberry",5
6,2,Signature,Ugné,T,+,"White wine, goji berry",2
6,2,Signature,Marie,F,-,"Pistachio, apricot, cranberry biscotti",3
6,2,Showstopper,Alvin,F,+,Brandy snaps in a gingerbread box,2
6,2,Showstopper,Dorret,T,-,"Green tea, cocoa bean cookies in a gingerbread box",3
6,2,Showstopper,Flora,F,+,"Honey and earl grey shortbread box, Earl grey tea infused biscuits",5
6,2,Showstopper,Ian,F,+,Shortbread box with macaron biscuits,1
6,2,Showstopper,Mat,F,o,"Gingerbread box with Earl gray tea, lemon biscuits",3
6,2,Showstopper,Nadiya,F,+,ginger and cayenne pepper gingerbread box with fortune cookies,3
6,2,Showstopper,Paul,F,+,"Gingerbread box, biscuits pink macaroon. Memory box with memory decorations",1
6,2,Showstopper,Sandy,T,o,"* Sun-dried tomato cheese biscuit box,  * Biscuits are Parmesan rounds filled w cream cheese",4
6,2,Showstopper,Tamal,F,+,"* Gingerbread box, * Checkered shortbread cookies",1
