Season,Baker,Place,Won?,% Risk,# SB Weeks,SB Weeks,# Good Weeks,# Bad Weeks,Last Week,% Good+,% OK,% Bad-
4,Frances,1,1,0.45,1,7,4,1,10,0.60,0.30,0.10
4,Kimberley,2,0,0.80,2,"4, 9",2,1,10,0.40,0.40,0.20
4,Ruby,2,0,0.40,3,"2, 6, 8",2,3,10,0.50,0.10,0.40
4,Beca,4,0,0.39,0,,1,2,9,0.11,0.56,0.33
4,Christine,5,0,0.19,2,"3, 5",0,1,8,0.25,0.50,0.25
4,Glenn,6,0,0.21,0,,1,2,7,0.14,0.43,0.43
4,Howard,7,0,0.67,0,,1,1,6,0.17,0.50,0.33
4,Rob,8,0,0.10,1,1,0,2,5,0.20,0.20,0.60
4,Ali,9,0,0.38,0,,0,1,4,0.00,0.50,0.50
4,Deborah,10,0,0.33,0,,0,0,3,0.00,0.67,0.33
4,Mark,10,0,0.17,0,,0,1,3,0.00,0.33,0.67
4,Lucy,12,0,0.50,0,,0,0,2,0.00,0.50,0.50
4,Toby,13,0,0.00,0,,0,0,1,0.00,0.00,1.00
5,Nancy,1,1,0.55,1,1,3,2,10,0.50,0.30,0.20
5,Luis,2,0,0.60,1,3,5,0,10,0.60,0.30,0.10
5,Richard,2,0,0.30,5,"2, 4, 7, 8, 9",1,2,10,0.60,0.10,0.30
5,Chetna,4,0,0.61,1,6,0,0,9,0.11,0.78,0.11
5,Martha,5,0,0.38,0,,1,2,8,0.13,0.50,0.38
5,Kate,6,0,0.15,1,5,2,1,7,0.43,0.29,0.29
5,Norman,7,0,0.20,0,,0,3,5,0.00,0.20,0.80
5,Diana,7,0,0.38,0,,0,0,5,0.00,0.80,0.20
5,Iain,9,0,0.44,0,,0,1,4,0.00,0.50,0.50
5,Jordan,10,0,0.67,0,,0,1,3,0.00,0.33,0.67
5,Enwezor,11,0,1.00,0,,0,0,2,0.00,0.50,0.50
5,Claire,12,0,0.00,0,,0,0,1,0.00,0.00,1.00
6,Nadiya,1,1,0.65,3,"5, 8, 9",3,1,10,0.70,0.20,0.10
6,Ian,2,0,0.55,3,"2, 3, 4",1,1,10,0.40,0.40,0.20
6,Tamal,2,0,0.40,1,7,4,0,10,0.50,0.40,0.10
6,Flora,4,0,0.39,0,,2,2,9,0.22,0.44,0.33
6,Paul,5,0,0.38,0,,2,3,8,0.25,0.25,0.50
6,Mat,6,0,0.29,1,6,1,1,7,0.29,0.43,0.29
6,Alvin,7,0,0.42,0,,1,1,6,0.17,0.50,0.33
6,Ugné,8,0,1.00,0,,0,1,5,0.00,0.60,0.40
6,Sandy,9,0,0.63,0,,1,0,4,0.25,0.50,0.25
6,Dorret,10,0,0.33,0,,0,2,3,0.00,0.00,1.00
6,Marie,11,0,0.00,1,1,0,0,2,0.50,0.00,0.50
6,Stu,12,0,1.00,0,,0,0,1,0.00,0.00,1.00
